数据库：分省年度数据
指标：农村居民家庭经营耕地面积(亩/人)
时间：最近20年
地区,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,0.50,0.48,0.53,0.54,0.57,0.54,0.63,0.69,0.61,0.69,0.74
天津市,1.58,1.41,1.49,1.54,1.31,1.20,1.25,1.33,1.35,1.29,1.41
河北省,1.89,1.87,1.98,1.98,1.94,1.93,1.94,1.89,1.78,1.75,1.81
山西省,2.50,2.60,2.43,2.40,2.39,2.32,2.24,2.20,2.29,2.24,2.33
内蒙古自治区,10.40,10.72,9.65,9.75,8.67,8.57,8.72,8.29,7.69,7.50,7.25
辽宁省,3.78,3.73,3.50,3.50,3.34,3.32,3.25,3.33,3.10,3.11,3.14
吉林省,8.27,8.34,7.75,7.63,7.07,6.84,6.26,6.24,5.49,5.29,5.58
黑龙江省,13.56,12.85,11.68,11.73,11.16,11.18,10.40,10.42,9.71,9.43,9.16
上海市,0.26,0.26,0.28,0.29,0.27,0.30,0.33,0.43,0.61,0.68,0.81
江苏省,1.25,1.22,1.12,1.12,1.14,1.09,1.11,1.12,1.19,1.16,1.21
浙江省,0.54,0.53,0.60,0.60,0.64,0.64,0.67,0.70,0.73,0.72,0.79
安徽省,1.89,1.87,1.87,1.81,1.76,1.73,1.70,1.68,1.50,1.44,1.49
福建省,0.73,0.71,0.88,0.88,0.81,0.80,0.78,0.80,0.73,0.74,0.78
江西省,1.57,1.52,1.61,1.58,1.56,1.52,1.50,1.47,1.34,1.30,1.31
山东省,1.64,1.60,1.56,1.55,1.51,1.52,1.39,1.38,1.45,1.48,1.46
河南省,1.62,1.53,1.68,1.66,1.65,1.63,1.59,1.53,1.52,1.45,1.52
湖北省,1.71,1.62,1.69,1.63,1.59,1.60,1.52,1.53,1.52,1.49,1.48
湖南省,1.22,1.18,1.25,1.23,1.20,1.19,1.18,1.17,1.12,1.08,1.09
广东省,0.53,0.53,0.65,0.67,0.66,0.67,0.66,0.66,0.68,0.65,0.72
广西壮族自治区,1.37,1.30,1.43,1.43,1.37,1.32,1.31,1.31,1.36,1.34,1.32
海南省,0.73,0.74,1.28,1.22,1.05,0.97,1.09,0.98,1.03,1.01,1.08
重庆市,1.29,1.27,1.19,1.06,1.02,1.01,0.99,0.96,0.95,0.95,1.00
四川省,1.14,1.15,1.08,1.02,1.03,1.03,0.98,0.96,0.96,0.94,0.97
贵州省,1.18,1.10,1.10,1.11,1.09,1.07,1.03,1.02,1.09,1.06,1.07
云南省,1.60,1.56,1.50,1.49,1.43,1.45,1.45,1.40,1.41,1.39,1.50
西藏自治区,1.89,1.79,2.02,2.02,2.02,2.02,2.31,1.98,1.97,2.23,2.33
陕西省,1.52,1.52,1.94,1.94,1.92,1.92,1.91,1.84,1.61,1.62,1.67
甘肃省,2.72,2.73,2.68,2.62,2.58,2.57,2.55,2.65,2.40,2.35,2.41
青海省,1.83,2.40,2.09,2.16,2.29,2.09,2.04,1.95,2.03,1.91,2.03
宁夏回族自治区,3.69,3.47,4.75,4.35,4.53,4.49,4.27,4.13,4.00,3.65,4.12
新疆维吾尔自治区,5.76,5.73,4.76,4.60,4.56,4.33,4.18,4.11,3.76,3.74,3.54
注：数据来源于农村住户抽样调查资料。
数据来源：国家统计局
