数据库：分省年度数据
指标：私营企业和个体就业人员(万人)
时间：最近20年
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,1187.5,1202.4,1141.4,1046.7,951.7,828.6,640.3,592.3,558.8,526.0,478.4,441.5,398.3,426.4,379.2,342.1
天津市,226.5,205.5,237.4,209.7,184.1,163.7,152.3,148.1,145.3,140.6,127.3,129.3,135.3,122.8,114.2,101.9
河北省,1414.0,1261.3,1120.1,981.7,805.2,672.9,595.8,641.3,626.2,542.5,754.9,557.9,535.3,532.2,511.7,479.4
山西省,693.3,642.8,592.0,553.4,497.3,472.0,425.2,386.2,317.9,290.4,250.3,259.3,230.6,194.5,164.6,180.8
内蒙古自治区,619.5,589.1,588.6,525.3,512.0,522.7,467.4,360.9,301.5,258.8,234.3,208.2,176.5,161.4,150.5,139.2
辽宁省,1037.8,970.0,914.6,827.4,890.4,927.2,838.4,807.0,767.0,717.3,703.7,603.9,610.1,554.8,534.8,510.8
吉林省,817.7,768.1,726.9,615.2,580.4,512.4,473.1,407.1,363.7,309.2,246.0,216.0,177.1,166.4,176.9,179.2
黑龙江省,539.7,459.2,403.0,362.5,303.4,472.5,531.3,504.2,442.6,393.9,331.8,312.7,279.7,258.8,250.8,231.7
上海市,1556.4,1470.8,1344.3,1194.2,1083.7,924.4,781.4,712.0,660.7,616.2,589.1,550.3,512.4,508.0,500.1,438.3
江苏省,3526.0,3604.2,3394.1,3114.1,2791.1,2615.4,2543.0,2232.9,2125.1,2004.4,1776.5,1631.9,1373.6,1219.2,1118.4,811.9
浙江省,2778.8,2643.1,2695.8,2565.7,2417.6,1970.8,1760.6,1546.2,1479.5,1339.1,1228.0,1154.1,1150.4,961.1,854.9,830.2
安徽省,1571.1,1410.0,1232.7,1056.2,919.3,816.4,705.1,646.2,598.5,570.8,460.4,444.3,485.3,512.2,432.6,397.6
福建省,1678.4,1966.0,1298.5,1149.3,913.4,756.7,640.3,652.7,583.3,484.8,443.7,360.4,306.6,257.0,224.6,197.2
江西省,1097.0,1010.3,930.8,898.6,864.8,776.5,672.5,659.9,631.5,535.1,445.7,400.3,360.5,342.0,302.0,263.7
山东省,3755.2,3057.8,2719.2,2372.7,2042.4,1757.4,1502.3,1375.0,1280.7,1185.0,1039.7,910.6,922.6,894.5,809.0,734.7
河南省,1882.7,1639.0,1421.3,1174.8,995.1,894.2,729.9,865.5,802.8,700.4,615.9,510.6,476.6,456.1,412.8,377.5
湖北省,1910.9,1837.7,1693.2,1565.2,1529.7,1444.2,1156.1,911.5,779.1,632.1,577.5,483.7,413.6,373.9,351.4,324.8
湖南省,1049.5,958.8,799.9,735.0,1063.3,967.8,797.0,721.9,685.8,562.3,469.8,439.0,420.7,413.1,397.1,370.3
广东省,5068.5,4585.2,4179.6,3637.8,3020.4,2526.8,2040.6,1808.9,1670.8,1540.8,1553.3,1460.3,1355.8,1189.0,1015.7,858.2
广西壮族自治区,1030.0,921.9,787.4,703.4,646.4,571.0,508.8,477.6,433.9,412.5,384.0,341.1,313.7,268.1,247.1,219.3
海南省,242.0,219.9,191.6,177.9,175.6,155.3,152.5,116.8,103.9,91.4,80.5,69.1,81.6,63.8,58.2,53.8
重庆市,1375.8,1281.9,1168.6,1059.5,931.0,781.0,646.6,548.5,443.8,327.8,313.4,271.9,234.1,192.7,196.3,191.0
四川省,1329.2,1129.1,965.8,1405.9,1345.0,983.7,955.0,884.1,795.0,765.0,728.3,667.4,607.2,576.0,488.5,419.1
贵州省,825.4,727.5,669.4,584.3,514.7,428.6,346.8,276.4,215.9,168.5,156.8,145.1,133.8,121.9,110.3,99.9
云南省,919.4,847.4,796.3,748.7,672.1,700.5,620.2,563.0,514.1,441.6,400.2,356.6,315.0,274.8,255.1,202.7
西藏自治区,94.7,106.9,100.2,91.3,71.9,60.1,54.5,51.3,46.0,36.8,33.6,29.5,26.1,19.4,16.6,14.2
陕西省,1033.0,773.8,567.1,518.3,483.5,517.5,466.8,420.5,388.3,338.2,318.5,316.3,314.2,310.3,304.1,308.4
甘肃省,515.8,475.5,530.8,415.4,370.3,318.4,263.8,226.0,205.9,177.5,157.5,136.3,121.9,111.0,104.1,105.8
青海省,123.1,113.9,98.4,81.7,70.8,72.1,66.5,69.9,64.5,60.4,57.1,54.6,58.9,60.7,58.2,51.6
宁夏回族自治区,146.2,125.1,172.1,152.7,136.0,114.7,95.8,98.9,95.1,81.0,69.2,57.5,64.7,50.9,42.0,38.1
新疆维吾尔自治区,479.5,408.7,626.0,334.7,294.3,249.4,227.1,211.7,171.5,174.6,166.9,160.9,157.3,153.0,143.0,131.4
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
