数据库：分省年度数据
指标：居民平均每百户年末家用汽车拥有量(辆)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年
北京市,55.0,54.0,53.1,48.0,47.3,45.0
天津市,55.2,54.6,53.0,44.0,43.1,37.7
河北省,47.9,45.9,44.9,37.3,35.3,30.4
山西省,28.1,27.0,27.9,25.1,24.6,20.7
内蒙古自治区,44.6,41.9,39.5,36.1,34.1,28.5
辽宁省,29.6,28.2,27.3,25.4,24.2,18.1
吉林省,32.4,31.2,29.5,23.2,21.4,19.3
黑龙江省,24.5,22.1,16.6,15.7,14.2,10.7
上海市,39.4,38.6,36.9,30.8,29.3,24.3
江苏省,41.0,39.9,38.1,40.2,37.9,31.3
浙江省,48.2,44.9,44.4,47.9,45.2,39.8
安徽省,31.5,29.9,27.4,21.4,18.7,14.8
福建省,29.4,27.5,24.9,29.0,26.5,22.3
江西省,31.8,31.1,29.4,24.7,21.5,16.7
山东省,52.3,51.7,46.7,47.7,44.1,37.8
河南省,33.0,30.7,29.6,25.0,23.7,17.4
湖北省,32.2,31.3,29.9,19.0,17.6,12.9
湖南省,32.4,25.6,22.8,23.3,21.4,16.4
广东省,42.7,41.3,36.9,31.6,29.4,24.6
广西壮族自治区,32.1,30.9,27.2,24.6,22.2,18.0
海南省,28.7,28.9,26.3,19.6,18.1,15.5
重庆市,29.0,27.0,23.7,21.3,19.6,15.4
四川省,29.1,28.2,25.2,22.6,20.4,15.3
贵州省,32.8,31.4,28.0,23.6,21.2,15.0
云南省,42.9,39.6,37.7,30.8,28.7,24.2
西藏自治区,41.7,39.5,37.3,26.0,23.3,21.5
陕西省,31.4,28.8,27.7,20.9,19.9,15.8
甘肃省,27.9,24.8,25.1,19.8,18.0,13.7
青海省,47.1,44.7,38.8,33.7,30.5,24.3
宁夏回族自治区,40.5,39.8,38.3,33.6,30.1,25.2
新疆维吾尔自治区,32.9,31.2,29.7,28.5,25.2,19.9
数据来源：国家统计局
