数据库：分省年度数据
指标：居民人均粮食消费量(千克)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年
北京市,107.2,97.3,91.9,75.7,83.8,90.8
天津市,111.1,105.2,118.3,120.1,126.9,127.4
河北省,161.8,143.9,130.8,124.8,130.6,131.5
山西省,159.3,139.4,137.6,135.7,134.6,131.6
内蒙古自治区,173.1,169.8,153.0,152.3,156.1,156.5
辽宁省,145.9,127.9,127.8,128.6,134.7,135.8
吉林省,157.5,140.6,132.6,142.2,137.6,129.7
黑龙江省,167.1,138.8,139.9,141.2,142.6,138.6
上海市,111.4,105.3,110.5,98.1,105.4,102.7
江苏省,122.1,120.3,121.9,114.8,116.9,122.0
浙江省,137.3,132.9,132.9,134.1,135.6,130.6
安徽省,148.3,147.3,139.5,137.3,140.9,142.0
福建省,124.4,120.2,125.1,122.0,128.4,126.7
江西省,154.0,134.0,134.5,140.4,146.2,150.9
山东省,124.0,117.6,117.2,122.8,125.7,127.4
河南省,150.9,132.2,123.4,124.5,125.1,127.3
湖北省,132.9,117.7,110.9,112.2,115.3,123.1
湖南省,157.2,144.1,137.6,146.6,144.4,148.4
广东省,128.2,115.9,108.7,116.8,118.1,118.3
广西壮族自治区,141.8,133.6,128.3,133.9,139.0,143.4
海南省,107.7,99.9,94.8,96.0,99.4,100.9
重庆市,149.5,138.1,135.7,152.6,151.1,149.8
四川省,146.9,142.7,146.6,160.2,155.8,160.7
贵州省,119.3,108.9,111.3,121.1,129.5,135.8
云南省,139.1,124.0,117.3,126.8,135.1,134.5
西藏自治区,193.6,187.6,208.9,284.5,283.3,276.9
陕西省,142.3,132.2,131.7,132.4,131.1,132.7
甘肃省,159.0,158.0,151.8,151.0,157.4,159.9
青海省,112.2,108.1,113.2,116.8,123.8,117.6
宁夏回族自治区,115.6,106.7,112.1,111.2,123.1,131.1
新疆维吾尔自治区,156.0,133.6,156.2,159.1,168.1,181.9
数据来源：国家统计局
