数据库：分省年度数据
指标：地表水与地下水资源重复量(亿立方米)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,4.7,8.8,7.7,2.6,3.1,3.1,2.2,3.4,4.9
天津市,,1.1,1.2,1.5,1.3,1.3,0.8,0.6,1.2,1.2
河北省,,39.7,35.7,45.6,38.0,31.3,29.4,30.1,39.8,47.1
山西省,,42.9,43.7,59.7,61.7,59.7,46.2,51.4,51.4,48.0
内蒙古自治区,,94.2,91.7,94.5,91.5,90.2,89.7,96.1,103.0,97.4
辽宁省,,75.8,62.4,53.7,61.3,75.5,56.2,60.1,96.5,92.5
吉林省,,88.0,87.4,78.9,78.7,86.6,68.1,65.2,88.0,73.8
黑龙江省,,208.1,207.8,178.3,157.2,162.2,154.9,165.5,215.2,144.1
上海市,,2.9,3.0,2.9,3.0,3.0,2.9,3.0,3.0,3.2
江苏省,,81.0,8.9,16.2,17.0,28.1,23.2,16.0,16.0,16.0
浙江省,,206.6,235.3,196.0,190.9,239.0,253.1,217.9,193.3,255.8
安徽省,,141.9,87.1,134.6,133.9,153.3,129.8,113.3,84.3,99.0
福建省,,242.2,337.7,244.2,286.1,448.8,331.1,329.3,336.3,347.9
江西省,,367.1,463.5,279.3,361.6,484.0,446.8,378.7,359.7,443.7
山东省,,86.3,52.9,84.0,64.6,65.7,49.0,45.0,71.7,72.1
河南省,,72.0,56.3,89.9,94.6,73.0,72.6,60.9,57.2,68.9
湖北省,,361.9,187.0,226.6,289.5,283.8,250.3,253.6,217.8,232.7
湖南省,,458.4,465.2,327.1,430.1,468.3,425.5,426.2,374.5,410.3
广东省,,389.4,498.2,450.7,431.1,559.9,451.4,411.1,523.1,476.7
广西壮族自治区,,444.3,443.7,439.6,444.6,527.4,465.9,401.7,477.1,586.3
海南省,,71.6,70.0,94.5,93.4,114.7,48.3,91.9,113.9,88.5
重庆市,,128.7,98.5,104.0,116.1,112.3,103.3,121.8,96.4,97.8
四川省,,648.0,615.1,634.0,606.4,592.1,582.9,605.1,606.4,613.8
贵州省,,281.0,267.0,252.7,260.8,251.3,282.2,294.4,235.6,253.3
云南省,,619.8,554.6,772.8,762.0,699.7,607.5,558.4,573.3,583.2
西藏自治区,,1045.7,1037.0,1105.7,1086.0,1028.0,803.0,985.1,991.7,951.9
陕西省,,112.7,113.8,101.2,115.1,85.1,96.4,98.3,96.2,107.7
甘肃省,,146.2,134.9,158.0,126.3,101.2,93.4,104.7,132.2,131.1
青海省,,414.9,391.6,401.8,334.3,261.3,254.4,331.5,274.7,384.5
宁夏回族自治区,,15.8,16.1,15.4,17.2,16.5,18.8,19.4,20.2,19.2
新疆维吾尔自治区,,462.1,468.0,456.0,537.9,556.3,494.7,403.6,509.8,508.0
数据来源：国家统计局
