数据库：分省年度数据
指标：每万人拥有公共厕所(座)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,3.22,3.24,2.83,2.81,2.87,2.88,2.92,3.05,3.24
天津市,,3.63,1.16,1.07,1.74,1.44,1.52,1.53,1.80,1.84
河北省,,3.39,3.04,3.18,2.95,3.15,3.72,3.92,4.07,4.18
山西省,,2.49,2.19,2.12,2.09,3.14,2.93,2.98,3.19,3.09
内蒙古自治区,,7.85,7.82,8.15,7.24,4.69,4.76,4.67,4.85,5.08
辽宁省,,2.07,2.02,1.80,1.84,2.40,2.22,2.35,2.37,2.46
吉林省,,3.55,3.62,3.14,2.93,3.14,3.11,3.23,3.51,3.67
黑龙江省,,4.27,4.29,4.08,4.01,4.28,4.66,5.13,4.74,5.14
上海市,,2.34,2.56,2.50,2.57,2.57,2.57,2.54,2.58,2.66
江苏省,,4.23,4.14,4.13,4.02,3.86,3.82,3.75,3.62,3.59
浙江省,,3.05,3.02,3.17,3.23,3.50,3.78,3.96,3.98,4.18
安徽省,,2.68,2.60,2.38,2.25,2.25,2.16,2.23,2.26,2.32
福建省,,4.57,4.18,3.68,3.07,2.15,2.70,2.74,2.79,2.69
江西省,,3.27,3.02,2.15,1.95,1.90,1.80,2.01,1.98,2.25
山东省,,2.01,1.93,1.92,1.85,2.04,2.03,2.00,1.95,1.99
河南省,,4.06,4.10,3.92,3.44,3.25,3.04,3.01,3.05,3.12
湖北省,,2.71,2.50,2.45,2.33,2.64,2.78,2.73,2.59,2.59
湖南省,,2.49,2.41,2.50,2.01,2.32,2.26,2.31,2.32,2.34
广东省,,1.94,1.85,1.87,1.93,1.95,1.90,1.89,1.95,2.06
广西壮族自治区,,1.52,1.46,1.40,1.37,1.38,1.43,2.15,2.29,2.33
海南省,,3.68,3.01,2.69,2.33,2.44,1.57,1.83,1.86,1.92
重庆市,,2.98,2.99,2.81,2.74,2.43,2.40,2.29,1.85,1.78
四川省,,2.68,2.53,2.36,2.38,2.18,2.14,2.17,2.90,2.89
贵州省,,2.92,2.80,2.86,2.88,2.01,2.24,2.17,2.06,2.09
云南省,,5.02,4.59,6.40,5.38,3.46,2.94,2.87,3.14,2.79
西藏自治区,,7.77,6.34,3.94,4.84,2.69,4.19,4.51,4.62,0.77
陕西省,,4.86,4.90,5.28,4.98,4.47,4.58,4.30,3.81,3.48
甘肃省,,3.26,3.05,3.10,2.62,2.58,2.39,2.50,2.41,2.36
青海省,,3.44,3.65,3.69,3.65,3.74,3.73,4.04,3.98,4.32
宁夏回族自治区,,2.99,2.99,2.65,2.53,2.62,2.63,2.51,2.54,2.30
新疆维吾尔自治区,,2.67,2.74,3.03,3.04,3.28,3.44,3.36,3.16,3.22
数据来源：国家统计局
