数据库：分省年度数据
指标：瓜果类面积(千公顷)
时间：最近20年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,3.61,3.91,4.25,5.20,6.48,6.95,7.66,8.20,7.81,7.58,8.09,8.53,8.65,7.70,8.42,8.94,8.70
天津市,4.78,4.34,4.61,4.72,4.88,4.16,4.62,4.83,5.15,6.57,6.30,6.31,8.55,8.60,8.67,13.10,12.63
河北省,73.85,70.74,70.26,85.80,85.61,84.80,84.05,83.35,83.28,82.67,92.83,99.88,103.07,105.40,109.31,111.82,104.10
山西省,16.18,14.53,14.75,17.83,21.98,25.09,20.30,18.73,21.34,22.36,23.76,20.64,36.49,30.39,32.63,39.85,46.30
内蒙古自治区,58.39,66.72,60.62,42.01,50.19,52.92,55.30,55.37,56.74,44.15,44.25,38.94,53.26,39.40,34.99,38.17,36.12
辽宁省,45.27,43.99,45.71,47.83,46.29,45.77,40.22,38.00,37.61,34.62,35.96,33.53,34.56,43.50,43.50,45.67,45.80
吉林省,40.49,22.11,21.11,19.28,23.28,26.27,28.29,31.97,35.38,39.62,50.13,56.02,51.21,53.20,48.20,70.60,68.15
黑龙江省,39.79,55.16,59.46,45.04,56.71,64.39,57.80,100.60,106.40,68.70,68.62,74.16,121.90,110.22,95.33,133.74,141.20
上海市,6.12,6.82,6.82,9.16,10.73,11.11,11.51,17.29,14.06,18.73,19.56,20.56,21.92,21.93,23.77,25.28,27.94
江苏省,163.91,162.07,157.08,162.87,149.86,145.28,143.47,140.39,137.48,134.58,126.27,125.23,125.57,124.78,127.88,146.68,147.82
浙江省,99.76,102.13,101.85,100.20,95.74,101.04,101.41,105.97,107.79,110.23,114.02,114.50,113.59,102.50,101.99,97.54,91.61
安徽省,80.05,74.86,74.06,191.55,181.22,176.46,172.65,171.13,165.70,160.61,166.49,172.81,175.50,175.48,184.97,205.96,211.37
福建省,18.35,17.74,17.63,19.24,20.41,21.50,22.88,24.70,26.32,28.10,30.23,32.13,36.17,37.15,37.87,37.82,35.41
江西省,82.62,80.93,79.50,78.97,77.72,75.28,74.48,72.81,72.69,71.32,72.13,66.97,66.97,88.07,84.52,89.90,98.56
山东省,214.51,214.95,218.48,221.18,218.48,217.68,217.66,216.22,224.17,226.15,233.28,243.08,267.84,291.96,299.56,332.01,311.15
河南省,307.69,318.24,312.36,292.69,297.05,309.75,308.05,310.29,326.01,321.45,308.40,323.00,343.70,333.61,298.03,311.97,319.11
湖北省,96.11,92.42,89.99,90.19,93.67,92.85,94.09,92.96,99.12,93.08,88.04,93.91,93.48,85.30,87.01,114.80,118.09
湖南省,134.29,128.48,125.01,128.32,125.80,123.75,123.12,124.10,124.12,103.67,121.74,123.69,120.89,112.39,112.43,130.17,127.35
广东省,42.05,41.25,40.05,40.44,37.63,37.59,37.44,38.02,38.44,37.37,38.83,43.92,48.15,49.08,49.40,49.01,45.32
广西壮族自治区,118.33,117.91,117.22,117.76,111.28,107.76,104.00,100.50,94.24,85.34,74.65,64.20,63.73,78.93,78.28,75.32,72.38
海南省,32.65,31.86,30.88,34.19,31.73,31.24,31.85,31.41,31.06,30.55,30.38,27.00,25.22,22.60,21.10,19.69,18.13
重庆市,26.79,24.67,23.73,22.38,21.01,22.76,22.62,21.63,22.83,22.68,22.17,21.06,18.80,17.55,16.75,16.38,14.69
四川省,49.56,47.66,46.93,46.78,46.00,45.32,46.57,46.74,46.94,45.63,46.41,48.33,50.11,45.63,45.67,47.85,48.13
贵州省,32.60,29.89,29.36,28.23,25.82,23.87,23.79,22.89,23.34,24.37,26.55,26.01,25.96,22.97,21.57,20.98,19.14
云南省,24.40,24.30,26.79,31.39,26.27,25.17,27.67,28.42,24.94,17.76,18.29,22.20,18.34,15.52,14.95,15.43,17.88
西藏自治区,0.37,0.14,0.16,0.08,0.12,0.16,0.16,0.14,0.15,0.12,0.01,0.00,0.07,0.02,0.07,0.54,0.47
陕西省,75.36,71.47,71.85,75.73,73.52,70.07,68.76,72.37,65.99,61.77,56.75,59.98,59.92,51.04,44.87,43.52,36.13
甘肃省,54.66,51.21,44.69,43.47,43.40,47.06,46.64,46.20,48.48,47.26,45.28,44.49,40.93,36.37,34.28,33.03,34.13
青海省,1.07,1.62,1.63,1.43,0.35,0.40,0.64,0.71,0.58,0.46,0.44,0.44,0.36,0.37,0.41,0.28,0.24
宁夏回族自治区,62.26,59.10,61.38,62.78,65.59,64.35,65.94,68.98,69.88,71.10,71.24,57.32,44.41,25.50,18.35,14.92,13.80
新疆维吾尔自治区,111.35,131.66,160.89,127.58,116.15,113.89,113.19,106.02,109.22,129.46,100.92,90.70,66.62,70.57,61.99,63.00,83.03
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
