数据库：分省年度数据
指标：生活用水总量(亿立方米)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,17.2,18.7,18.4,18.3,17.8,17.5,17.0,16.3,16.0
天津市,,6.6,7.5,7.4,6.1,5.6,4.9,5.0,5.1,5.0
河北省,,27.0,27.0,27.8,27.0,25.9,24.4,24.1,23.8,23.4
山西省,,14.6,13.8,13.4,12.8,12.6,12.3,12.2,12.3,11.8
内蒙古自治区,,11.6,11.7,11.2,11.0,10.6,10.4,10.5,10.7,10.4
辽宁省,,25.4,25.3,25.5,25.4,25.3,25.0,24.4,23.4,23.4
吉林省,,13.3,13.4,14.1,14.1,14.3,12.8,12.8,12.3,12.0
黑龙江省,,14.9,15.6,15.7,15.4,15.6,16.2,17.7,17.1,16.3
上海市,,23.6,24.2,24.5,24.6,25.1,24.1,24.4,25.7,24.9
江苏省,,63.7,64.0,61.0,58.5,56.1,54.4,52.8,51.4,50.5
浙江省,,47.4,47.2,47.2,47.0,46.3,44.3,43.8,42.5,41.6
安徽省,,35.1,34.7,34.1,33.8,33.4,32.8,31.9,31.5,30.9
福建省,,33.0,34.2,33.6,33.2,33.1,32.2,31.5,30.9,28.5
江西省,,28.8,29.1,29.0,28.9,28.5,27.9,27.4,26.9,26.1
山东省,,37.5,37.3,36.0,34.6,34.2,33.0,33.4,33.3,32.8
河南省,,43.1,41.6,40.7,40.2,38.7,35.4,33.4,33.4,32.0
湖北省,,50.3,54.6,54.4,53.2,52.4,49.2,40.7,39.4,30.9
湖南省,,44.4,46.7,45.7,44.5,43.5,42.2,41.8,40.0,40.3
广东省,,107.9,103.6,102.1,100.9,99.9,98.3,96.1,94.8,95.4
广西壮族自治区,,35.4,41.2,40.8,40.2,39.7,39.7,39.2,38.3,36.6
海南省,,8.0,8.5,8.6,8.4,8.3,8.0,7.5,6.9,6.6
重庆市,,22.4,21.9,21.5,20.5,20.2,19.6,19.1,18.1,17.5
四川省,,53.6,54.1,54.4,50.7,49.8,48.3,42.5,40.1,42.9
贵州省,,18.0,20.0,19.5,18.8,17.4,17.0,16.6,16.0,13.1
云南省,,25.1,23.3,23.6,21.7,21.1,20.2,19.5,20.5,19.2
西藏自治区,,3.3,3.0,2.9,2.7,2.5,2.0,1.1,1.0,1.0
陕西省,,18.9,18.1,17.4,17.0,16.4,16.1,15.4,15.1,14.8
甘肃省,,9.3,9.6,9.2,8.7,8.3,8.2,8.2,7.9,9.3
青海省,,3.0,3.2,3.0,2.9,2.8,2.6,2.5,2.3,2.2
宁夏回族自治区,,3.7,3.0,2.6,2.3,2.2,1.8,1.7,1.6,1.6
新疆维吾尔自治区,,17.3,15.7,14.8,14.7,13.9,13.2,12.3,11.7,12.0
注：2012年起，生活用水量中的牲畜用水量调整至农业用水量中。
数据来源：国家统计局
