数据库：分省年度数据
指标：水资源总量(亿立方米)
时间：最近10年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,25.8,24.6,35.5,29.8,35.1,26.8,20.3,24.8,39.5
天津市,13.3,8.1,17.6,13.0,18.9,12.8,11.4,14.6,32.9
河北省,146.3,113.5,164.1,138.3,208.3,135.1,106.2,175.9,235.5
山西省,115.2,97.3,121.9,130.2,134.1,94.0,111.0,126.6,106.2
内蒙古自治区,503.9,447.9,461.5,309.9,426.5,537.0,537.8,959.8,510.3
辽宁省,397.1,256.0,235.4,186.3,331.6,179.0,145.9,463.2,547.3
吉林省,586.2,506.1,481.2,394.4,488.8,331.3,306.0,607.4,460.5
黑龙江省,1419.9,1511.4,1011.4,742.5,843.7,814.1,944.3,1419.6,841.4
上海市,58.6,48.3,38.7,34.0,61.0,64.1,47.1,28.0,33.9
江苏省,543.4,231.7,378.4,392.9,741.7,582.1,399.3,283.5,373.3
浙江省,1026.6,1321.5,866.2,895.3,1323.3,1407.1,1132.1,931.3,1444.8
安徽省,1280.4,539.9,835.8,784.9,1245.2,914.1,778.5,585.6,701.0
福建省,760.3,1363.9,778.5,1055.6,2109.0,1325.9,1219.6,1151.9,1511.4
江西省,1685.6,2051.6,1149.1,1655.1,2221.1,2001.2,1631.8,1424.0,2174.4
山东省,375.3,195.2,343.3,225.6,220.3,168.4,148.4,291.7,274.3
河南省,408.6,168.6,339.8,423.1,337.3,287.2,283.4,213.1,265.5
湖北省,1754.7,613.7,857.0,1248.8,1498.0,1015.6,914.3,790.1,813.9
湖南省,2118.9,2098.3,1342.9,1912.4,2196.6,1919.3,1799.4,1582.0,1988.9
广东省,1626.0,2068.2,1895.1,1786.6,2458.6,1933.4,1718.4,2263.2,2026.5
广西壮族自治区,2114.8,2105.1,1831.0,2388.0,2178.6,2433.6,1990.9,2057.3,2087.4
海南省,263.6,252.3,418.1,383.9,489.9,198.2,383.5,502.1,364.3
重庆市,766.9,498.1,524.2,656.1,604.9,456.2,642.6,474.3,476.9
四川省,3237.3,2748.9,2952.6,2467.1,2340.9,2220.5,2557.7,2470.3,2892.4
贵州省,1328.6,1117.0,978.7,1051.5,1066.1,1153.7,1213.1,759.4,974.0
云南省,1799.2,1533.8,2206.5,2202.6,2088.9,1871.9,1726.6,1706.7,1689.8
西藏自治区,4597.3,4496.9,4658.2,4749.9,4642.2,3853.0,4416.3,4415.7,4196.4
陕西省,419.6,495.3,371.4,449.1,271.5,333.4,351.6,353.8,390.5
甘肃省,408.0,325.9,333.3,238.9,168.4,164.8,198.4,268.9,267.0
青海省,1011.9,919.3,961.9,785.7,612.7,589.3,793.9,645.6,895.2
宁夏回族自治区,11.0,12.6,14.7,10.8,9.6,9.2,10.1,11.4,10.8
新疆维吾尔自治区,801.0,870.1,858.8,1018.6,1093.4,930.3,726.9,956.0,900.6
数据来源：国家统计局
