数据库：分省年度数据
指标：建成区绿化覆盖率(%)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,49.0,48.5,48.4,48.4,48.4,48.4,49.1,47.1,46.2
天津市,,37.6,37.5,38.0,36.8,37.2,36.4,34.9,34.9,34.9
河北省,,42.9,42.3,41.6,41.8,40.8,41.2,41.9,41.2,41.0
山西省,,43.9,42.3,41.3,40.6,40.5,40.1,40.1,40.0,38.6
内蒙古自治区,,40.5,40.5,40.6,40.2,39.9,39.2,39.8,36.2,36.2
辽宁省,,41.7,40.8,39.9,40.7,36.4,40.3,40.1,40.2,40.2
吉林省,,40.4,39.2,37.6,35.8,35.0,36.1,35.8,31.4,33.9
黑龙江省,,36.9,36.4,36.0,35.5,35.4,35.8,36.0,36.0,36.0
上海市,,37.3,36.8,36.2,39.1,38.6,38.5,38.4,38.4,38.3
江苏省,,43.5,43.4,43.1,43.0,42.9,42.8,42.6,42.4,42.2
浙江省,,42.2,41.5,41.2,40.4,41.0,40.6,40.8,40.3,39.9
安徽省,,42.0,42.7,42.5,42.2,41.7,41.2,41.2,39.9,38.8
福建省,,44.6,44.5,44.3,43.7,43.3,43.0,42.8,42.8,42.0
江西省,,46.4,45.5,45.9,45.2,43.6,44.1,44.6,45.1,46.0
山东省,,41.6,41.8,41.8,42.1,42.3,42.3,42.8,42.6,42.1
河南省,,41.9,41.0,40.0,39.4,39.3,37.7,38.3,37.6,36.9
湖北省,,41.1,38.9,38.4,38.4,37.6,37.5,37.9,38.1,38.9
湖南省,,41.5,41.2,41.2,41.2,40.6,39.7,38.6,37.6,37.0
广东省,,43.5,43.3,44.0,43.5,42.4,41.4,41.4,41.5,41.2
广西壮族自治区,,41.3,40.8,39.9,39.1,37.6,37.6,39.3,37.7,37.5
海南省,,40.6,41.7,40.6,40.1,40.3,37.7,41.3,42.1,41.2
重庆市,,43.1,41.8,40.4,40.3,40.8,40.3,40.6,41.7,42.9
四川省,,42.5,41.8,40.5,40.0,39.9,38.7,37.5,38.4,38.7
贵州省,,40.9,39.4,38.6,37.0,36.8,35.9,34.0,34.5,32.8
云南省,,40.5,39.7,39.8,38.9,37.8,37.3,38.1,37.8,39.3
西藏自治区,,38.1,37.6,37.3,34.8,32.6,42.6,43.8,18.1,32.4
陕西省,,40.8,39.3,38.8,39.9,40.1,40.6,40.5,40.2,40.4
甘肃省,,36.3,36.0,33.5,33.3,31.5,30.2,30.8,32.1,30.0
青海省,,35.9,35.2,33.9,32.6,31.1,29.8,31.6,31.2,32.5
宁夏回族自治区,,42.0,41.3,40.5,40.4,40.4,37.9,38.0,38.5,38.4
新疆维吾尔自治区,,40.9,39.9,39.6,40.0,38.5,37.5,36.8,36.4,35.9
数据来源：国家统计局
