数据库：分省年度数据
指标：水产品养殖面积(千公顷)
时间：最近20年
地区,2019年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,2.2,3.5,3.6,3.9,4.2,4.4,4.9,5.0,5.1,4.8,5.2,5.3,19.7,20.1,20.9,22.4
天津市,23.9,38.4,39.9,40.6,40.5,41.3,40.4,41.5,41.9,40.8,36.8,38.3,41.7,40.4,38.3,38.2
河北省,143.0,190.5,194.0,201.0,197.3,212.1,210.1,198.8,192.9,182.1,120.1,112.4,165.1,158.0,156.0,158.2
山西省,12.4,15.9,15.7,15.8,15.5,15.0,16.2,14.8,14.4,14.3,8.3,7.9,18.3,18.1,17.3,17.4
内蒙古自治区,129.2,115.6,119.6,118.6,115.8,116.9,111.6,108.6,105.9,100.2,94.2,89.1,120.2,110.8,108.2,96.3
辽宁省,839.6,999.9,1152.2,1145.4,1148.9,1015.6,953.0,961.2,832.6,566.0,407.9,387.9,616.5,557.7,531.0,437.1
吉林省,330.2,318.9,316.9,313.1,307.7,294.4,277.7,273.8,230.2,226.2,226.2,208.8,201.2,189.6,191.3,182.2
黑龙江省,400.3,392.7,388.8,376.2,376.4,373.4,338.2,308.8,286.0,264.1,244.9,238.6,395.2,394.4,374.6,380.7
上海市,11.8,18.6,19.4,20.5,21.0,22.0,23.9,25.3,26.3,29.2,30.2,31.3,41.1,42.5,45.4,42.8
江苏省,603.1,753.2,753.4,761.0,765.3,771.2,769.4,750.1,725.4,703.5,691.5,688.9,813.6,800.3,779.6,759.5
浙江省,255.1,290.9,298.9,298.1,302.4,303.0,304.0,312.9,314.0,308.2,190.2,190.2,317.6,323.0,332.6,329.9
安徽省,483.0,584.7,580.2,575.9,570.4,556.6,544.2,528.7,509.8,475.2,435.5,428.2,598.0,589.1,574.7,566.9
福建省,250.1,277.1,267.9,261.9,253.3,242.8,237.7,231.5,224.0,207.0,193.8,191.6,253.2,247.8,239.2,236.9
江西省,411.5,438.2,437.5,435.3,433.2,432.1,428.2,425.5,417.1,365.9,368.4,352.8,374.3,363.8,358.5,348.8
山东省,758.9,838.0,846.2,835.1,826.9,803.4,782.9,757.7,686.2,662.3,590.0,560.0,688.7,676.2,620.6,535.0
河南省,139.9,291.7,276.6,269.7,255.5,235.8,224.0,209.8,204.1,146.6,90.1,86.4,230.0,203.7,200.3,198.2
湖北省,531.6,698.9,688.7,688.0,683.5,680.1,666.7,656.7,649.7,583.4,550.0,528.7,666.7,662.4,665.7,633.5
湖南省,425.7,475.0,467.7,454.3,447.6,436.7,410.0,394.0,383.0,361.7,350.5,361.7,481.7,465.7,431.9,437.3
广东省,478.2,555.1,565.7,565.0,570.1,575.2,573.9,563.4,562.2,544.3,489.1,489.9,604.7,599.0,595.3,585.7
广西壮族自治区,183.2,238.6,239.2,236.2,231.7,229.1,225.7,221.7,217.8,209.4,202.5,145.0,265.0,258.0,254.4,261.4
海南省,51.7,55.5,54.7,53.9,57.9,56.3,55.0,54.2,53.5,42.1,27.5,26.5,64.4,63.5,62.2,61.9
重庆市,82.8,99.6,96.7,93.6,88.0,84.3,81.2,76.4,52.9,49.4,37.1,34.9,69.7,68.9,68.6,69.2
四川省,193.1,214.9,211.5,199.4,196.8,192.8,188.4,183.2,179.0,169.4,160.0,98.7,200.9,195.1,183.9,172.4
贵州省,61.5,60.8,59.9,58.9,56.2,49.3,32.6,29.9,25.5,24.9,8.5,0.0,43.2,34.8,34.9,31.5
云南省,93.9,149.0,142.2,138.5,134.9,124.0,117.0,107.8,75.3,37.1,36.3,34.4,86.0,86.2,86.2,83.8
西藏自治区,,0.0,0.0,,,0.0,0.0,0.0,0.1,0.1,,0.0,,,,
陕西省,51.2,50.5,50.6,50.5,47.9,48.2,45.5,39.8,115.7,113.3,6.8,6.7,26.7,26.1,28.6,26.3
甘肃省,6.1,15.5,15.5,14.4,13.9,13.3,12.7,12.6,12.6,12.4,12.2,12.1,18.9,19.4,20.1,21.5
青海省,17.4,42.4,42.4,42.4,42.4,42.4,42.4,38.0,33.5,4.3,4.3,38.2,42.8,42.8,43.4,43.3
宁夏回族自治区,23.5,47.5,46.8,46.7,45.9,45.4,43.2,40.4,33.3,28.2,17.1,14.0,17.1,14.3,13.4,13.3
新疆维吾尔自治区,114.3,75.1,72.7,72.4,70.7,71.1,74.0,73.3,73.4,73.9,109.7,109.4,76.0,75.0,64.4,62.6
数据来源：国家统计局
