数据库：分省年度数据
指标：其他供水总量(亿立方米)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,12.0,11.5,10.8,10.5,10.0,9.5,8.6,8.0,7.5
天津市,,5.6,5.4,4.6,3.9,3.4,2.9,2.8,1.8,1.7
河北省,,9.8,7.5,5.8,6.2,6.0,4.9,4.0,3.6,2.8
山西省,,5.5,4.5,4.5,4.2,4.4,3.3,3.5,4.5,2.8
内蒙古自治区,,7.1,6.6,3.9,3.4,3.2,2.3,2.2,2.9,1.7
辽宁省,,5.7,5.0,4.4,4.2,4.2,4.2,3.3,3.7,3.3
吉林省,,2.3,1.4,0.4,0.4,0.4,0.7,0.6,0.6,0.6
黑龙江省,,1.8,1.5,0.9,1.0,1.0,0.8,0.2,,
上海市,,0.1,,,,0.0,,,,
江苏省,,11.7,10.5,8.7,7.7,7.5,7.4,6.9,,
浙江省,,4.0,2.7,2.6,2.0,1.1,1.0,0.9,1.2,0.8
安徽省,,5.8,4.6,4.5,3.0,2.5,2.3,1.8,1.8,0.9
福建省,,1.8,1.5,1.2,0.7,0.7,0.6,0.7,0.7,0.7
江西省,,2.3,2.2,2.2,2.1,2.1,2.0,2.0,,
山东省,,11.9,9.5,8.7,8.7,8.4,7.7,7.3,6.1,6.4
河南省,,10.6,7.9,6.2,5.1,2.8,1.6,1.3,0.7,0.9
湖北省,,0.4,0.3,,0.1,,,,,1.0
湖南省,,2.4,0.6,0.1,0.1,0.1,,0.0,,
广东省,,3.6,3.0,2.2,2.3,1.8,1.8,1.7,1.7,1.6
广西壮族自治区,,2.2,2.1,1.8,1.4,1.1,1.2,0.8,0.7,0.6
海南省,,0.3,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.1
重庆市,,4.6,0.4,0.2,0.2,0.2,0.1,0.1,0.1,0.1
四川省,,1.1,0.8,0.7,1.9,1.4,1.8,1.7,6.4,4.6
贵州省,,1.0,1.2,0.6,0.6,0.8,,1.7,0.1,1.7
云南省,,2.3,3.0,2.3,3.1,1.2,1.2,1.1,1.2,1.1
西藏自治区,,0.1,0.1,,,0.0,,,,
陕西省,,4.0,3.0,2.6,2.3,2.0,1.8,1.3,1.1,0.6
甘肃省,,4.2,4.2,3.9,3.9,3.0,2.2,1.6,1.6,1.5
青海省,,0.5,0.6,0.2,0.2,0.1,0.1,0.1,0.1,0.1
宁夏回族自治区,,0.5,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2
新疆维吾尔自治区,,3.1,2.2,1.7,1.6,0.9,0.9,1.1,1.2,1.4
数据来源：国家统计局
