数据库：分省年度数据
指标：农用柴油使用量(万吨)
时间：最近20年
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,1.80,1.93,2.25,2.53,2.78,3.36,3.70,3.88,3.96,3.91,4.94,4.46,4.45,6.32,6.44,6.94,7.10,6.55
天津市,2.10,2.20,14.03,14.89,15.50,15.33,15.33,15.99,15.93,17.03,16.82,16.09,15.65,15.49,15.32,15.87,11.25,16.11
河北省,200.10,217.56,224.55,218.65,293.19,291.02,294.05,290.91,279.23,298.47,301.87,329.92,487.03,427.93,458.11,433.77,255.90,216.04
山西省,26.40,27.60,28.51,29.23,29.85,30.59,30.82,30.78,30.68,29.25,29.76,29.05,28.01,27.34,26.66,25.95,24.05,23.57
内蒙古自治区,77.40,79.20,73.59,81.00,80.39,74.41,66.78,64.96,60.51,65.30,61.90,55.08,51.26,46.69,42.11,39.03,34.93,28.71
辽宁省,59.90,62.37,69.33,70.71,72.47,74.51,73.46,71.95,70.36,71.95,72.61,63.92,62.74,58.59,55.48,50.50,48.85,46.20
吉林省,65.70,67.34,67.60,67.04,66.68,65.31,68.70,66.77,63.93,61.03,57.74,53.31,50.53,43.81,40.47,40.40,34.90,32.35
黑龙江省,137.40,147.42,146.82,145.46,145.02,144.97,140.33,139.22,133.64,127.86,118.64,110.23,104.63,105.20,99.66,92.63,85.40,82.32
上海市,13.00,13.12,14.49,13.69,13.42,12.63,13.03,12.04,13.58,14.83,13.16,13.87,14.51,11.98,11.83,11.85,10.25,11.39
江苏省,108.90,109.36,108.96,108.71,108.58,107.45,106.80,102.97,99.96,97.48,91.86,83.89,80.63,81.25,78.76,77.51,76.34,75.79
浙江省,190.50,198.80,201.60,203.25,203.24,200.72,198.80,196.20,195.10,191.56,183.28,184.28,193.58,190.23,187.27,186.16,175.76,175.79
安徽省,74.70,75.50,75.49,75.68,75.69,73.44,73.43,72.03,70.42,68.13,65.78,63.20,62.41,60.21,55.58,52.88,47.38,46.13
福建省,81.20,82.37,83.61,86.30,86.23,86.25,85.98,85.41,85.02,83.17,81.99,81.00,78.92,76.56,74.19,80.02,80.55,76.61
江西省,30.10,30.93,29.60,27.82,28.76,28.65,29.26,27.62,26.31,24.88,25.14,23.83,22.26,24.37,19.85,19.99,17.33,16.68
山东省,137.60,147.47,157.75,162.51,165.83,168.26,174.64,179.56,185.23,186.63,179.21,182.65,193.77,192.46,187.43,167.62,172.19,169.08
河南省,100.10,103.92,108.84,112.44,114.70,115.95,113.43,112.25,111.07,107.92,104.17,99.24,96.42,93.04,89.79,86.86,84.58,85.07
湖北省,63.50,65.10,66.31,65.85,65.61,67.33,65.73,61.84,61.84,58.29,53.51,52.45,48.20,42.40,41.31,41.09,39.34,41.13
湖南省,44.80,44.56,44.16,43.69,43.64,42.59,41.73,40.61,39.50,37.78,37.48,35.65,33.54,33.09,32.64,30.20,27.68,25.50
广东省,85.50,88.52,77.71,79.89,78.70,77.59,75.27,75.60,77.43,75.29,70.75,66.73,64.40,63.44,62.49,65.96,60.41,63.22
广西壮族自治区,53.40,52.69,56.83,63.60,64.78,64.65,63.30,61.66,59.75,58.13,56.74,55.40,54.82,53.02,51.12,48.41,46.38,45.41
海南省,15.70,20.63,16.17,19.86,21.72,22.99,22.05,22.00,22.82,22.37,20.80,18.69,16.91,16.02,15.14,15.26,14.56,14.24
重庆市,21.20,21.40,21.67,21.63,21.39,22.46,21.63,18.95,17.24,16.38,15.74,14.98,15.33,15.10,14.92,13.28,12.56,11.31
四川省,47.00,46.91,46.72,46.87,46.87,46.63,46.28,45.85,43.40,42.08,41.03,39.77,39.72,38.99,36.20,35.36,33.82,32.45
贵州省,11.30,11.09,11.41,11.16,10.98,10.88,10.95,10.23,9.67,6.94,5.83,5.59,5.44,4.93,4.99,4.84,4.47,3.83
云南省,26.20,25.37,85.87,84.80,86.26,84.75,82.25,77.88,72.57,65.33,57.52,50.00,46.92,51.99,57.06,43.43,44.55,43.17
西藏自治区,3.30,3.01,5.59,6.25,5.36,5.06,5.78,4.78,4.15,3.12,2.04,1.67,1.39,1.39,1.38,1.01,0.81,0.92
陕西省,93.80,92.58,93.43,92.77,92.32,91.21,91.03,82.16,79.97,70.36,77.59,47.82,52.82,48.83,48.74,48.07,42.56,41.67
甘肃省,39.10,40.77,45.54,44.17,42.71,38.56,34.35,33.06,29.55,28.98,27.35,25.14,22.70,22.60,19.79,20.77,19.19,18.33
青海省,6.60,6.44,6.41,6.39,6.54,6.56,6.52,6.39,6.22,6.12,5.87,5.56,5.60,5.47,5.37,5.23,5.12,5.26
宁夏回族自治区,21.50,21.69,22.02,22.48,22.18,22.17,22.13,22.06,20.76,20.24,19.17,17.10,15.69,14.54,14.07,12.85,12.03,12.65
新疆维吾尔自治区,94.20,95.54,88.25,87.78,86.30,80.05,77.41,72.06,67.63,62.30,59.60,57.29,50.53,49.51,48.49,45.73,44.39,39.99
数据来源：国家统计局
