数据库：分省年度数据
指标：生态用水总量(亿立方米)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,17.2,16.0,13.4,12.7,11.1,10.4,7.2,5.9,5.7
天津市,,6.4,6.2,5.6,5.2,4.1,2.9,2.1,0.9,1.4
河北省,,29.9,22.1,14.5,8.2,6.7,5.0,5.1,4.7,3.8
山西省,,4.8,4.9,3.5,3.0,3.3,2.3,3.4,3.5,3.3
内蒙古自治区,,29.4,25.0,24.6,23.1,23.1,16.4,14.3,16.4,15.1
辽宁省,,7.4,6.0,5.7,5.5,5.6,5.6,4.9,5.1,4.4
吉林省,,11.4,6.5,4.4,4.7,6.3,7.4,3.6,3.9,6.0
黑龙江省,,2.3,1.2,3.6,1.5,2.5,2.6,1.3,3.0,6.0
上海市,,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.7
江苏省,,4.8,3.7,2.5,2.1,2.0,2.0,2.7,3.2,3.3
浙江省,,7.0,5.4,5.5,5.5,5.5,5.5,5.2,5.2,4.5
安徽省,,8.3,7.7,6.7,6.2,5.6,4.9,4.7,4.1,4.6
福建省,,9.3,3.6,3.7,3.2,3.1,3.3,3.2,3.2,3.1
江西省,,3.2,2.4,2.4,2.3,2.2,2.1,2.1,2.1,2.1
山东省,,19.1,17.9,10.6,12.0,7.6,6.9,5.8,6.1,6.7
河南省,,35.0,29.2,23.6,19.8,13.0,9.1,5.7,6.1,10.6
湖北省,,11.8,1.7,1.3,1.2,1.1,0.8,0.6,0.4,0.3
湖南省,,6.9,3.8,3.6,2.8,2.8,2.7,2.7,2.9,2.5
广东省,,6.0,5.7,5.3,5.3,5.4,5.3,5.1,5.2,6.5
广西壮族自治区,,4.1,3.3,3.0,3.0,2.7,2.4,2.4,3.0,3.0
海南省,,1.1,0.9,0.9,0.8,0.5,0.3,0.2,0.2,0.2
重庆市,,1.7,1.3,1.2,1.1,1.1,1.0,0.9,0.8,0.8
四川省,,5.9,5.9,5.6,5.8,5.8,5.1,4.2,4.7,2.5
贵州省,,1.7,1.0,0.9,0.9,0.9,0.7,0.7,0.7,0.3
云南省,,4.4,4.4,3.9,3.1,2.8,2.3,2.0,1.3,1.0
西藏自治区,,0.3,0.3,0.3,0.2,0.3,0.1,0.0,,
陕西省,,5.2,4.5,4.8,3.5,3.1,2.9,2.5,2.3,1.7
甘肃省,,10.7,5.2,4.7,4.7,4.1,3.1,1.8,1.8,3.0
青海省,,1.1,1.4,1.3,1.2,1.1,0.5,0.4,0.2,0.2
宁夏回族自治区,,3.7,2.8,2.6,2.5,2.0,2.2,2.3,2.0,1.5
新疆维吾尔自治区,,46.2,49.0,30.5,10.2,6.5,5.8,5.3,5.8,4.0
注：生态用水仅包括部分河湖、湿地人工补水和城市环境用水。
数据来源：国家统计局
