数据库：分省年度数据
指标：粪便清运量(万吨)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,,,,,203.96,204.66,216.06,220.73,207.15
天津市,,,,,,28.39,28.13,32.72,30.89,32.05
河北省,,,,,,92.56,95.69,96.90,81.69,85.68
山西省,,,,,,35.34,33.99,34.12,76.26,79.50
内蒙古自治区,,,,,,60.04,37.81,48.13,82.75,105.95
辽宁省,,,,,,85.92,89.44,90.39,98.05,113.40
吉林省,,,,,,62.53,67.55,65.08,66.79,88.78
黑龙江省,,,,,,120.66,122.11,134.75,153.22,151.14
上海市,,,,,,159.72,172.82,199.87,222.00,200.00
江苏省,,,,,,65.85,72.49,82.44,81.70,72.92
浙江省,,,,,,75.37,81.49,70.95,69.36,84.20
安徽省,,,,,,13.03,15.72,18.50,24.78,27.17
福建省,,,,,,4.03,4.08,3.97,3.88,4.10
江西省,,,,,,7.75,7.92,8.05,12.86,44.62
山东省,,,,,,22.16,107.95,127.15,136.30,120.60
河南省,,,,,,36.92,36.62,44.44,48.25,66.44
湖北省,,,,,,16.35,15.82,19.48,19.36,37.18
湖南省,,,,,,2.79,6.70,14.35,3.44,4.92
广东省,,,,,,89.29,85.51,85.09,94.39,99.43
广西壮族自治区,,,,,,7.65,8.73,9.75,9.99,13.40
海南省,,,,,,0.56,5.71,5.33,0.94,22.17
重庆市,,,,,,45.74,61.25,66.96,64.55,63.94
四川省,,,,,,15.91,17.16,18.00,20.24,19.74
贵州省,,,,,,0.86,1.03,4.23,4.05,4.85
云南省,,,,,,15.05,20.99,16.11,15.92,17.74
西藏自治区,,,,,,0.12,0.12,,,
陕西省,,,,,,7.25,9.08,15.97,15.61,22.92
甘肃省,,,,,,16.16,18.02,17.58,19.42,17.07
青海省,,,,,,1.35,1.35,1.30,1.96,1.25
宁夏回族自治区,,,,,,5.69,6.77,3.88,2.70,3.12
新疆维吾尔自治区,,,,,,0.16,0.06,0.42,0.33,0.37
注：粪便清运量自2017年起不再统计。
数据来源：国家统计局
