数据库：分省年度数据
指标：每万人拥有公共交通车辆(标台)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,17.02,17.41,18.24,26.55,24.31,24.58,24.84,24.39,23.43
天津市,,11.54,10.93,11.93,19.64,18.09,16.30,18.14,18.99,17.34
河北省,,13.29,13.18,14.62,15.34,13.68,12.94,11.34,12.62,11.29
山西省,,11.01,11.30,10.57,9.74,9.42,8.53,8.85,9.90,8.47
内蒙古自治区,,11.51,11.53,10.18,10.65,10.26,9.10,9.01,8.57,7.05
辽宁省,,12.30,12.14,11.72,13.23,12.91,12.30,11.79,11.19,11.11
吉林省,,10.07,10.22,10.73,11.15,10.26,10.62,10.32,10.21,9.75
黑龙江省,,13.99,14.81,14.03,14.09,13.58,13.11,12.78,12.62,11.26
上海市,,9.21,9.29,9.04,13.94,12.70,12.36,11.97,12.11,11.91
江苏省,,15.61,15.52,15.63,17.42,16.57,15.81,15.08,14.15,13.36
浙江省,,14.75,16.42,16.10,16.93,16.27,15.99,15.46,14.64,13.96
安徽省,,13.02,13.23,12.80,13.61,11.95,11.39,11.60,10.99,10.14
福建省,,14.18,14.85,15.28,15.85,15.26,14.44,13.33,12.65,12.16
江西省,,9.73,9.63,9.72,12.55,8.86,8.69,8.56,9.15,10.01
山东省,,15.56,16.08,15.13,16.36,15.88,14.43,13.17,13.54,12.76
河南省,,12.20,12.29,12.59,12.28,10.88,10.14,9.75,9.07,8.60
湖北省,,11.36,10.82,10.98,12.38,12.76,11.84,11.91,11.56,11.25
湖南省,,17.25,17.94,15.49,14.43,15.13,13.64,12.46,10.80,10.38
广东省,,11.85,11.93,12.74,15.30,14.20,13.52,13.28,13.08,13.42
广西壮族自治区,,9.41,10.10,10.78,10.74,9.77,9.10,9.19,9.42,9.18
海南省,,12.53,13.38,12.67,13.54,11.35,11.25,11.97,11.48,11.60
重庆市,,10.05,10.10,9.51,11.50,10.70,11.03,11.18,11.57,9.00
四川省,,12.10,13.25,13.18,14.46,12.90,13.52,14.22,14.59,13.34
贵州省,,11.29,11.16,10.96,11.02,11.36,11.27,10.61,9.60,8.80
云南省,,12.90,12.97,12.97,13.60,13.17,12.62,12.36,11.61,10.25
西藏自治区,,8.30,7.62,7.72,10.43,6.20,9.05,8.43,7.70,8.59
陕西省,,14.07,14.73,13.72,15.63,16.01,15.51,15.85,16.27,15.58
甘肃省,,13.33,13.29,11.87,10.52,9.16,9.00,9.67,10.36,10.04
青海省,,13.87,14.09,14.57,14.37,14.49,13.25,14.40,14.47,16.60
宁夏回族自治区,,11.85,12.85,13.35,15.26,13.47,13.97,13.17,13.19,12.46
新疆维吾尔自治区,,13.06,13.39,14.44,14.58,15.24,16.08,15.54,14.35,13.91
数据来源：国家统计局
